number,beeldbank_link,image_link,type,research_and_notes,specific_location,longitude,latitude,number_of_people,children,adults,people_identified,source
96942,https://beeldbankwo2.nl/nl/beelden/detail/4e02ff74-025a-11e7-904b-d89d6717b464/media/35bb6b4c-21d1-ad4a-31f9-9c8f7882a854?mode=detail&view=horizontal&q=96942&rows=1&page=1,https://images.memorix.nl/niod/download/default/35bb6b4c-21d1-ad4a-31f9-9c8f7882a854.jpg',portrait,Vleeshal,"Old 'Vleeshal', Amsterdam ",4.902976,52.367824,30+,0,30+,0,
96979,https://beeldbankwo2.nl/nl/beelden/detail/4e1587ac-025a-11e7-904b-d89d6717b464/media/b553773a-44d8-cc38-8414-6d7cff5d17be?mode=detail&view=horizontal&q=96979&rows=1&page=1,https://images.memorix.nl/niod/download/default/b553773a-44d8-cc38-8414-6d7cff5d17be.jpg',portrait,Franz Schlezinger Lare Bernheim Peter Blumenthal zittend: Loet Cohen,Utrecht ,5.104480,52.092876,4,4,0,4,"Peter David Blumenthal (joodsmonument.nl)
https://www.joodseschoolutrecht.nl/De-joodse-school/"
161486,https://beeldbankwo2.nl/nl/beelden/detail/b73a9420-025a-11e7-904b-d89d6717b464/media/36dc9069-8f1d-47b1-69e4-da68c72fe836?mode=detail&view=horizontal&q=161486&rows=1&page=1,https://images.memorix.nl/niod/download/default/36dc9069-8f1d-47b1-69e4-da68c72fe836.jpg', photograph,Simon van Hasselt and daughter Sophia. Were killed in Auschwitz in 1943.,Groningen ,6.560541,53.217162,2,1,1,2,Simon van Hasselt (joodsmonument.nl)
114298,https://beeldbankwo2.nl/nl/beelden/detail/6ad9da46-025a-11e7-904b-d89d6717b464/media/189991c2-3fad-d1d8-7d0e-417cb9a15d2a?mode=detail&view=horizontal&q=114298&rows=1&page=1,https://images.memorix.nl/niod/download/default/189991c2-3fad-d1d8-7d0e-417cb9a15d2a.jpg',portrait,Musicians at a work camp in Noord-Holland,"Camp 't Zand, 't Zand",4.733940,52.822295,2,0,2,0,Beeldbank + https://www.oorlogsbronnen.nl/thema/Kamp%20%27t%20Zand
114300,https://beeldbankwo2.nl/nl/beelden/detail/6adaabe2-025a-11e7-904b-d89d6717b464/media/412fb4c7-abe3-c9b8-f498-05a3d3dc5953?mode=detail&view=horizontal&q=114300&rows=1&page=1,https://images.memorix.nl/niod/download/default/412fb4c7-abe3-c9b8-f498-05a3d3dc5953.jpg',portrait,"From the local newspaper from then, ""de Zijpe"", this was the classic ensemble.  Bram Allegro (seated, 3e on the right), Simon Suzan (standing, 2e on the right), Max Wessel (standing in middle, light costume), Louis Pens (seated front left, light costume)","Camp 't Zand, 't Zand",4.733940,52.822295,16,0,16,4,"1995-02: Het joodse werkkamp in 't Zand (dezijpe.nl)

https://www.joodsamsterdam.nl/oorlog-werkkamp-t-zand-herinneringen-arnold-troostwijk/"
161136,https://beeldbankwo2.nl/nl/beelden/detail/b6ae6d4c-025a-11e7-904b-d89d6717b464/media/aa3d7bf8-6d33-5dbd-f184-5f64482063a6?mode=detail&view=horizontal&q=161136&rows=1&page=1,https://images.memorix.nl/niod/download/default/aa3d7bf8-6d33-5dbd-f184-5f64482063a6.jpg',photograph,"has to be after 1944 when the Jewish Brigade was established. Beeldbank says taken by Felix Baehr, cannot find any info on him",Ijmuiden ,4.592765,52.459869,0,0,0,0,Jewish Brigade - Netwerk Oorlogsbronnen
161138,https://beeldbankwo2.nl/nl/beelden/detail/b6af26a6-025a-11e7-904b-d89d6717b464/media/651979e0-b82c-e941-ebfc-d178beffee26?mode=detail&view=horizontal&q=161138&rows=1&page=1,https://images.memorix.nl/niod/download/default/651979e0-b82c-e941-ebfc-d178beffee26.jpg',photograph,Also part of the Jewish brigade. Same as above.,Ijmuiden ,4.592765,52.459869,1,1,0,0,
161168,https://beeldbankwo2.nl/nl/beelden/detail/b6ba8032-025a-11e7-904b-d89d6717b464/media/e9b3adff-2b92-6b16-5f8a-eee35053a487?mode=detail&view=horizontal&q=161168&rows=1&page=1,https://images.memorix.nl/niod/download/default/e9b3adff-2b92-6b16-5f8a-eee35053a487.jpg',portrait,Bep Duizend was director of CIZ Amsterdam. Multiple pictures of this hospital in source.,"Centraal Israelisch Ziekenhuis, Amsterdam ",4.875006,52.357094,5,0,5,1,"Yochebeth (Bep) Duizend (1913 - 2003) - Genealogy (geni.com), https://data.jck.nl/search/?page=11&qf=dc_creator%3Aonbekend+%28fotograaf%29&qf%5B%5D=dc_subject%3AAmsterdam&q="
161303,https://beeldbankwo2.nl/nl/beelden/detail/b6f2003e-025a-11e7-904b-d89d6717b464/media/53bd4c5f-ef57-59a2-e5a7-6994734f43a5?mode=detail&view=horizontal&q=161303&rows=1&page=1,https://images.memorix.nl/niod/download/default/53bd4c5f-ef57-59a2-e5a7-6994734f43a5.jpg',portrait,"Source says Isidoor jas was at camp Conrad, which is also on Beeldbank. He apparently escaped from the camp. There are many names in the source but without picture","Camp Conrad, Rouweveen ",6.176944,52.634722,8,0,8,1,Werkkamp De Conrad - joodsamsterdam
161373,https://beeldbankwo2.nl/nl/beelden/detail/b70d4c04-025a-11e7-904b-d89d6717b464/media/6bdf4227-0e52-2f3b-81fd-cad65ced2290?mode=detail&view=horizontal&q=161373&rows=1&page=1,https://images.memorix.nl/niod/download/default/6bdf4227-0e52-2f3b-81fd-cad65ced2290.jpg',portrait,"If Joop Colson took this image, then he was active in Amsterdam and then this should be in Amsterdam",Amsterdam,4.897070,52.377956,4,2,3,0,"Ontdek fotograaf, fotostudio Joop Colson (rkd.nl), http://www.biografischportaal.nl/persoon/94028294"
161414,https://beeldbankwo2.nl/nl/beelden/detail/b71d1d0a-025a-11e7-904b-d89d6717b464/media/1810dcc7-61c7-99e2-03b6-3e5aa95cf4bf?mode=detail&view=horizontal&q=161414&rows=1&page=1,https://images.memorix.nl/niod/download/default/1810dcc7-61c7-99e2-03b6-3e5aa95cf4bf.jpg',portrait,"Workkamp in De Fledders, one man holds a sign with 'Greatings, De Fledders, Room 1'","Camp De Fledders, Westervelde",6.450833,53.038056,34,0,34,0,Image 
161437,https://beeldbankwo2.nl/nl/beelden/detail/b7259ab6-025a-11e7-904b-d89d6717b464/media/4741407c-b1e9-1608-dadd-cbe53c98f0e3?mode=detail&view=horizontal&q=161437&rows=1&page=1,https://images.memorix.nl/niod/download/default/4741407c-b1e9-1608-dadd-cbe53c98f0e3.jpg', photograph,"Jodenbreestraat, Jewish neighbourhood","Jodenbreestraat, Jewish community, Amsterdam ",4.902637,52.369188,20,0,20,0,
161519,https://beeldbankwo2.nl/nl/beelden/detail/b74859b6-025a-11e7-904b-d89d6717b464/media/b4f7a1f0-8268-75ca-7f6b-89c73a7d3a81?mode=detail&view=horizontal&q=161519&rows=1&page=1,https://images.memorix.nl/niod/download/default/b4f7a1f0-8268-75ca-7f6b-89c73a7d3a81.jpg', photograph,"Weesperstraat according to many images online, to me it looks like the Utrechtsestraat as it is narrow and there is a tram path",Amsterdam ,4.897070,52.377956,10,2,8,0,
62319,https://beeldbankwo2.nl/nl/beelden/detail/10923fba-025a-11e7-904b-d89d6717b464/media/f79a807a-45f3-1d72-507e-821187614caf?mode=detail&view=horizontal&q=62319&rows=1&page=1,https://images.memorix.nl/niod/download/default/f79a807a-45f3-1d72-507e-821187614caf.jpg',portrait,"Beeldbank says there is a dhr van Dam in the picture. In a book 'Jodenkampen' this picture appears with the description: 'A group poses in the field with the Dam family. On the bottom row are among others Nathan Swart (second on the left), Arie Englander (which is the same person as in 161292), Louis Blitz (second on the right)."" The woman in the top row could be the wife of Dhr Dam as it states 'family Dam'. ","Camp De Landweer, Elsloo",6.2377,52.942780,12,0,12,3,"De Landweer - Joodse Werkkampen, https://books.google.nl/books?id=pVKR74fk3N0C&pg=PA45&lpg=PA45&dq=Louis+van+dam+de+landweer&source=bl&ots=f8sKRBSF0u&sig=ACfU3U0bRw-msSvRX_09LQbGMtIeNuxi_A&hl=nl&sa=X&ved=2ahUKEwi7t52r1r31AhVDNOwKHfplCcgQ6AF6BAgXEAM#v=onepage&q=Louis%20van%20dam%20de%20landweer&f=false"
62322,https://beeldbankwo2.nl/nl/beelden/detail/1093855a-025a-11e7-904b-d89d6717b464/media/bc87611e-d091-f87f-dc4b-3c7095b451e2?mode=detail&view=horizontal&q=62322&rows=1&page=1,https://images.memorix.nl/niod/download/default/bc87611e-d091-f87f-dc4b-3c7095b451e2.jpg',portrait,"Same area as 62319, might be same men who are working. The man supervising them is Louis Blitz.","Camp De Landweer, Elsloo",6.2378,52.942781,8,0,12,1,"De Landweer - Joodse Werkkampen, https://books.google.nl/books?id=pVKR74fk3N0C&pg=PA45&lpg=PA45&dq=Louis+van+dam+de+landweer&source=bl&ots=f8sKRBSF0u&sig=ACfU3U0bRw-msSvRX_09LQbGMtIeNuxi_A&hl=nl&sa=X&ved=2ahUKEwi7t52r1r31AhVDNOwKHfplCcgQ6AF6BAgXEAM#v=onepage&q=Louis%20van%20dam%20de%20landweer&f=false"
62323,https://beeldbankwo2.nl/nl/beelden/detail/1093e6bc-025a-11e7-904b-d89d6717b464/media/edad4f22-3b10-efb8-c564-29812597c183?mode=detail&view=horizontal&q=62323&rows=1&page=1,https://images.memorix.nl/niod/download/default/edad4f22-3b10-efb8-c564-29812597c183.jpg',portrait,Third image in the same place on De Landweer. The man supervising the working men is Louis Blitz,"Camp De Landweer, Elsloo",6.2375,52.942778,5,0,5,1,"De Landweer - Joodse Werkkampen, https://books.google.nl/books?id=pVKR74fk3N0C&pg=PA45&lpg=PA45&dq=Louis+van+dam+de+landweer&source=bl&ots=f8sKRBSF0u&sig=ACfU3U0bRw-msSvRX_09LQbGMtIeNuxi_A&hl=nl&sa=X&ved=2ahUKEwi7t52r1r31AhVDNOwKHfplCcgQ6AF6BAgXEAM#v=onepage&q=Louis%20van%20dam%20de%20landweer&f=false"
62326,https://beeldbankwo2.nl/nl/beelden/detail/109509f2-025a-11e7-904b-d89d6717b464/media/95d8a1b6-fd6f-107a-9270-7f67359916f5?mode=detail&view=horizontal&q=62326&rows=1&page=1,https://images.memorix.nl/niod/download/default/95d8a1b6-fd6f-107a-9270-7f67359916f5.jpg',portrait,"Given the information from the book ""Jodenkampen"" (Niek van der Oord), these men are Louis Blitz and Dhr Dam.","Camp De Landweer, Elsloo",6.607222,52.9175,2,0,2,2,"De Landweer - Joodse Werkkampen, https://books.google.nl/books?id=pVKR74fk3N0C&pg=PA45&lpg=PA45&dq=Louis+van+dam+de+landweer&source=bl&ots=f8sKRBSF0u&sig=ACfU3U0bRw-msSvRX_09LQbGMtIeNuxi_A&hl=nl&sa=X&ved=2ahUKEwi7t52r1r31AhVDNOwKHfplCcgQ6AF6BAgXEAM#v=onepage&q=Louis%20van%20dam%20de%20landweer&f=false"
153055,https://beeldbankwo2.nl/nl/beelden/detail/a95b58bc-025a-11e7-904b-d89d6717b464/media/9b1dcf83-48d9-f32f-155d-91eb74fa6c68?mode=detail&view=horizontal&q=153055&rows=1&page=1,https://images.memorix.nl/niod/download/default/9b1dcf83-48d9-f32f-155d-91eb74fa6c68.jpg',portrait,"This might be Guus van der Wijk and Mineke de Vries. They got married in 1907 In Leeuwarden, Friesland. This is an improvised marital picture. The brother of Guus and the sister of Mineke apparently also got married.",Leeuwarden ,5.793783,53.203584,2,0,2,2,"""Jodenkampen (Niek van der Oord)"""
146515,https://beeldbankwo2.nl/nl/beelden/detail/9e8ca67a-025a-11e7-904b-d89d6717b464/media/c529be3a-0149-de50-a863-66ef8036d0bc?mode=detail&view=horizontal&q=146515&rows=1&page=1,https://images.memorix.nl/niod/thumb/mediabank-horizontal/c529be3a-0149-de50-a863-66ef8036d0bc.jpg',photograph,"Family Spanier, the two daughters are Renate and Ines. Gottschalk difficult to find information on. ","Camp Westerbork, Hooghalen",6.607222,52.9175,6,4,2,2,De familie Spanier – Bevrijdingsportretten
161277,https://beeldbankwo2.nl/nl/beelden/detail/b6e5b6bc-025a-11e7-904b-d89d6717b464/media/cb3d374a-d112-1c0c-e1ed-e0e60c32fad8?mode=detail&view=horizontal&q=161277&rows=1&page=1,https://images.memorix.nl/niod/download/default/cb3d374a-d112-1c0c-e1ed-e0e60c32fad8.jpg',portrait,"Willy Philip Pos was involved in the Joods Lyceum as theater teacher between 1941-1943. The source gives no mention of Willy Pos, but is does give two names: Juliette Kepellaper and Tineke van Santen. These are the two women in the front in checkered shirt. From the sources, this is a production photo of ""Een avondje bij de familie Stastok"".","Joods Lyceum, Amsterdam ",4.905431,52.361564,10,0,10,3,Willy Philip Pos - TheaterEncyclopedie. https://jck.nl/nl/node/2658
161294,https://beeldbankwo2.nl/nl/beelden/detail/b6ee8094-025a-11e7-904b-d89d6717b464/media/88b081fc-1e7b-eb35-cf10-bb226102195e?mode=detail&view=horizontal&q=161294&rows=1&page=1,https://images.memorix.nl/niod/download/default/88b081fc-1e7b-eb35-cf10-bb226102195e.jpg',portrait,"Mietje Vischschraper-Zendijk and Leendert Vischschraper married in Amsterdam in 1942. Mietje and Leendert's parents could be in the picture, who are named Jeannette Zendijk-Abraham and Hijman Zendijk (Mietje, not known photo to be found) and for Leendert: Martha Vischschraper-Van Der Bijl (front right with black hat) and Simon Vischschraper (far right, with gray hat). It is not known Mietje and Leendert had a child together, so the girl in front is unknown.",Amsterdam ,4.756340,52.836690,16,1,15,5,Mietje Vischschraper-Zendijk (joodsmonument.nl)
163740,https://beeldbankwo2.nl/nl/beelden/detail/bad7c648-025a-11e7-904b-d89d6717b464/media/0d9b3048-1126-8397-790b-dd3b55d4307b?mode=detail&view=horizontal&q=163740&rows=1&page=1,https://images.memorix.nl/niod/download/default/0d9b3048-1126-8397-790b-dd3b55d4307b.jpg',portrait,One in the album of Dhr. F.W. Bonnet ?,Utrecht ,5.104480,52.092876,1,0,1,0,Beeldbank
62300,https://beeldbankwo2.nl/nl/beelden/detail/108ab344-025a-11e7-904b-d89d6717b464/media/65556e56-0d37-9c3a-d5bd-2468fbf9248b?mode=detail&view=horizontal&q=62300&rows=1&page=1,https://images.memorix.nl/niod/download/default/65556e56-0d37-9c3a-d5bd-2468fbf9248b.jpg',portrait,Men in camp De Fledders room 3.,"Camp De Fledders, Westervelde",6.450833,53.038056,29,0,29,0,Beeldbank
62301,https://beeldbankwo2.nl/nl/beelden/detail/108b12f8-025a-11e7-904b-d89d6717b464/media/1d599e9d-b1a8-ccd0-b129-03f716f02ec0?mode=detail&view=horizontal&q=62301&rows=1&page=11,https://images.memorix.nl/niod/download/default/1d599e9d-b1a8-ccd0-b129-03f716f02ec0.jpg',portrait,"The source is the same kind of sign, so that means that the sign in this image could say ""Kamer .... RWK Geesbrug Nieuweroord"" ","Camp Geesbrug, Nieuweroord",6.588828,52.727775,28,0,28,0,Joods werkkamp Geesbrug - Netwerk Oorlogsbronnen
62320,https://beeldbankwo2.nl/nl/beelden/detail/1092b8b4-025a-11e7-904b-d89d6717b464/media/a8504651-52c7-36d7-7057-8000c138b993?mode=detail&view=horizontal&q=62320&rows=1&page=1,https://images.memorix.nl/niod/download/default/a8504651-52c7-36d7-7057-8000c138b993.jpg',portrait,Going back to camp after work. One man in suit who probably supervised.,"Camp De Landweer, Elsloo",6.2377,52.942780,11,0,11,0,Beeldbank
62321,https://beeldbankwo2.nl/nl/beelden/detail/1093211e-025a-11e7-904b-d89d6717b464/media/823f5128-d8e1-794f-e3ea-2ff925226e4e?mode=detail&view=horizontal&q=62321&rows=1&page=1,https://images.memorix.nl/niod/download/default/823f5128-d8e1-794f-e3ea-2ff925226e4e.jpg',portrait,Louis Blitz is below in the middle. Siebe van der Veen is in suit in the middle. I think that man in the far right is Luc Blitz. See remarks for another photo. These people should be a similar group to that image.,"Camp De Landweer, Elsloo",6.2375,52.942778,17,0,17,3,"""Jodenkampen (Niek van der Oord)"" & Beeldbank"
62325,https://beeldbankwo2.nl/nl/beelden/detail/1094ac0a-025a-11e7-904b-d89d6717b464/media/533668c7-d03f-ac86-091e-4dc2cd1f7f37?mode=detail&view=horizontal&q=62325&rows=1&page=1,https://images.memorix.nl/niod/download/default/533668c7-d03f-ac86-091e-4dc2cd1f7f37.jpg',portrait,"Also De Landweer, as Louis Blitz and either Van Dam or Luc Blitz are standing there. The other two are according to Beeldbank ""Moutje Wolf"" and Levie, but cannot find them..","Camp De Landweer, Elsloo",6.2375,52.942778,5,0,5,2,Beeldbank
